System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,smw_count,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail,Krylov_fail
S,1,0,0,AUG2D,0.553114,3.27788e-07,1.68741e+06,15,148,6,12,0,1.28264e-07,2.21323e-09,0.336405,0,0
S,1,0,0,AUG2DC,0.765392,4.20922e-07,1.81837e+06,15,130,7,12,0,1.71364e-07,2.31851e-09,0.269388,0,0
S,1,0,0,AUG2DCQP,10.1987,1.56948e-06,6.49812e+06,28,420,1041,54,0,6.38747e-07,5.75e-09,1.62161,0,0
S,1,0,0,AUG2DQP,7.98439,1.28016e-06,6.237e+06,28,420,924,59,0,5.18993e-07,6.09738e-09,1.61878,0,0
S,1,0,0,AUG3D,3.60537e-07,6.50709e-10,554.068,6,10,0,7,0,1.33024e-07,5.21764e-07,0.0237334,0,0
S,1,0,0,AUG3DC,8.48554e-05,1.10021e-07,771.262,5,7,0,6,0,6.54607e-07,2.4674e-06,0.0185938,0,0
S,1,0,0,AUG3DCQP,0.00211767,2.13182e-06,993.36,7,25,201,20,0,9.45133e-07,5.9531e-07,0.0621577,0,0
S,1,0,0,AUG3DQP,0.000360188,5.33424e-07,675.237,7,20,163,20,0,2.37772e-07,4.58816e-12,0.0709732,0,0
S,0,4,0,BOYD1,2.01441e+06,0.0326299,-5.97208e+07,23,383,864,383,0,0.0103918,485.474,1878.29,0,0
S,0,4,0,BOYD2,29.7729,1.40063,51.0297,238,4075,7658,1688,1609,0.000210749,0.00442609,2298.09,0,0
S,1,0,0,CONT-050,2.69879e-07,5.91341e-08,-4.56385,18,202,261,42,0,3.97689e-07,6.7485e-09,0.36733,0,0
S,1,0,0,CONT-100,2.29775e-05,4.94737e-06,-4.64437,20,272,369,77,0,9.24558e-07,8.60731e-08,3.26801,0,0
S,1,0,0,CONT-101,6.21474e-05,0.000317845,0.195589,86,1614,3827,218,0,9.89279e-07,2.42545e-08,124.4,0,0
S,1,0,0,CONT-200,0.000222222,4.74339e-05,-4.68465,38,603,482,63,0,7.51131e-07,2.40207e-07,24.1355,0,0
S,1,0,0,CONT-201,0.000677965,0.0035222,0.193161,87,1597,8917,479,0,9.75213e-07,1.73906e-07,167.375,0,0
S,1,0,0,CONT-300,0.00434764,0.0227016,0.19586,222,4287,13077,687,0,9.61582e-07,1.12851e-07,754.943,0,0
L,0,4,0,CVXQP1L,1.55868e+07,0.143387,9.3118e+07,330,6521,219510,551,0,0.0694689,0.0181176,1803.39,0,12
